seat_id,expected_disposition,grok_bot_id,grok_state,openclaw_agent_id,expected_skills,observed_skills,skill_hash_verified,activation_level,owner,model,clean_runs,failed_runs,critical_failures,final_status,blocker,evidence_references
people-ops,Keep,0d3c8de9-083d-4b45-b039-8cab045c6111,existing_retained,people-ops,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
head-of-content,Keep,437dcc32-1b39-411e-91be-1059938588cf,existing_retained,head-of-content,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
head-of-author-success,Merge initially,dd4aafeb-2511-4d4d-b0c3-b970228c3785,existing_retained,head-of-author-success,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
client-success,Merge initially,0b393c69-cdb0-4768-ac3b-d6b8a3fb348d,existing_retained,client-success,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
vp-campaigns,Merge/rename,601b33e7-5326-46c3-911c-ac001c843e2f,existing_retained,vp-campaigns,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
campaign-coordinator,Conditional,9e30c691-15b3-483e-9c28-ce6f21f9c025,existing_retained,campaign-coordinator,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
vp-retreats,Conditional/merge,ec1781d5-71bb-47f2-8b4c-3225d507a810,existing_retained,vp-retreats,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
retreat-producer,Conditional,ad2d9470-8b70-495b-bd0a-a79bb0453664,existing_retained,retreat-producer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
head-of-demand,Merge,94f1b097-37cb-41fb-b7c8-83e6fc8d6fe6,existing_retained,head-of-demand,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,leftover_only_no_live_job;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
head-of-sales,Keep one Sales Lead,e4bf6802-6708-4b97-ab3b-ded2a6a5577c,existing_retained,head-of-sales,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,leftover_only_no_live_job;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
sdr,Conditional,6d649a32-8ace-4d81-b87b-5a062de1283c,existing_retained,sdr,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,leftover_only_no_live_job;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
head-of-engineering,Conditional,e6646393-5ad9-4379-8aee-851e7aafafcd,existing_retained,head-of-engineering,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,parked;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
developer,Conditional,a3d1d5d2-f21e-442e-b27e-acec16b8e08f,existing_retained,developer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand;grok existing,0,0,0,NOT_ACTIVATION_READY,parked;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
book-conceptual-editor,Merge,,none,book-conceptual-editor,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
book-copy-writer,Merge/conditional,,none,book-copy-writer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
book-reader,On demand,,none,book-reader,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
book-strategist,Merge,,none,book-strategist,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
book-technical-editor,Conditional,,none,book-technical-editor,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
book-writer,Keep capability seat by queue,,none,book-writer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
copy-editor,Keep distinct control,,none,copy-editor,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
copy-writer,Keep shared capability,,none,copy-writer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
junior-digital-designer,Merge,,none,junior-digital-designer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
junior-print-designer,Merge,,none,junior-print-designer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
pendulum-wiki,Repurpose/conditional,,none,pendulum-wiki,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;pendulum_unresolved;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
persona-architect,Merge/repurpose,,none,persona-architect,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
pr-media,Conditional,,none,pr-media,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
sales-editor,Merge,,none,sales-editor,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
sales-writer,Merge,,none,sales-writer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
senior-digital-designer,Repurpose/keep,,none,senior-digital-designer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
senior-print-designer,Conditional,,none,senior-print-designer,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
seo-expert,Conditional,,none,seo-expert,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
social-account-expert,Merge,,none,social-account-expert,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
social-media-strategist,Merge,,none,social-media-strategist,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
speaking-associations,Merge,,none,speaking-associations,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
speaking-universities,Merge,,none,speaking-universities,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
strategist,Retire vague seat,,none,strategist,workforce-core-guardrails;seat_skill_name_not_supplied,UNVERIFIED,no,not_activated,,ollama/office-hand,0,0,0,NOT_ACTIVATION_READY,unassigned_craft;no_acceptance_runs;no_pack_skill_install,seats-summary.txt;openclaw agents list;ORG_DESIGN_AUDIT.md
